INFO - MiscDetections\CharacterChangeMenu | Color Check Started |  0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:57 matches:0 | C: 0x38342a Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:58 matches:0 | C: 0x38342a Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:59 matches:0 | C: 0x3a342a Ref: 0xFFFFFF
INFO - MiscDetections\CharacterChangeMenu | Color Check Finished |  0xFFFFFF | 0.000000
INFO - MiscDetections\CharacterChangeMenu | Color Check Started |  0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:0 matches:0 | C: 0x282323 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:1 matches:0 | C: 0x282323 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:2 matches:0 | C: 0x282323 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:3 matches:0 | C: 0x282321 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:4 matches:0 | C: 0x282323 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:5 matches:0 | C: 0x1d1a1a Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:6 matches:0 | C: 0x1d1a1a Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:7 matches:0 | C: 0x1f1a1a Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:8 matches:0 | C: 0x1d1a19 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:9 matches:0 | C: 0x1d1a19 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:10 matches:0 | C: 0x1d1a19 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:11 matches:0 | C: 0x1d1a19 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:12 matches:0 | C: 0x1d1a19 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:13 matches:0 | C: 0x1d1a19 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:14 matches:0 | C: 0x1d1a19 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:15 matches:0 | C: 0x1d1a19 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:16 matches:0 | C: 0x1d1a19 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:17 matches:0 | C: 0x1d1a19 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:18 matches:0 | C: 0x1d1a19 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:19 matches:0 | C: 0x1d1a19 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:20 matches:0 | C: 0x1d1a19 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:21 matches:0 | C: 0x1d1919 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:22 matches:0 | C: 0x1d1919 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:23 matches:0 | C: 0x1d1919 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:24 matches:0 | C: 0x1d1a19 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:25 matches:0 | C: 0x1d1919 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:26 matches:0 | C: 0x544a2a Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:27 matches:0 | C: 0x544a2a Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:28 matches:0 | C: 0x544a2a Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:29 matches:0 | C: 0x544a2a Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:30 matches:0 | C: 0x231f1d Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:31 matches:0 | C: 0x231f1d Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:32 matches:0 | C: 0x211f1d Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:33 matches:0 | C: 0x211f1d Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:34 matches:0 | C: 0x211f1d Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:35 matches:0 | C: 0x211f1d Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:36 matches:0 | C: 0x211f1d Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:37 matches:0 | C: 0x211f1d Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:38 matches:0 | C: 0x201f1d Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:39 matches:0 | C: 0x201f1d Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:40 matches:0 | C: 0x201d1d Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:41 matches:0 | C: 0x1f1d1d Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:42 matches:0 | C: 0x1f1d1c Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:43 matches:0 | C: 0x1f1d1c Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:44 matches:0 | C: 0x1f1d1c Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:45 matches:0 | C: 0x1f1d1c Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:46 matches:0 | C: 0x1f1d1c Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:47 matches:0 | C: 0x1f1d1c Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:48 matches:0 | C: 0x1f1d1c Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:49 matches:0 | C: 0x1f1d1c Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:50 matches:0 | C: 0x1f1d1c Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:51 matches:0 | C: 0x1f1d1c Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:52 matches:0 | C: 0x1f1d1c Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:53 matches:0 | C: 0x1f1d1c Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:54 matches:0 | C: 0x1f1d1c Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:55 matches:0 | C: 0x1f1d1c Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:56 matches:0 | C: 0x1f1d1c Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:57 matches:0 | C: 0x201d1c Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:58 matches:0 | C: 0x201d1c Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:59 matches:0 | C: 0x201d1c Ref: 0xFFFFFF
INFO - MiscDetections\CharacterChangeMenu | Color Check Finished |  0xFFFFFF | 0.000000
INFO - MiscDetections\CharacterChangeMenu | Color Check Started |  0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:0 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:1 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:2 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:3 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:4 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:5 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:6 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:7 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:8 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:9 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:10 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:11 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:12 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:13 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:14 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:15 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:16 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:17 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:18 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:19 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:20 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:21 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:22 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:23 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:24 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:25 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:26 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:27 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:28 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:29 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:30 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:31 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:32 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:33 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:34 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:35 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:36 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:37 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:38 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:39 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:40 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:41 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:42 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:43 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:44 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:45 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:46 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:47 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:48 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:49 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:50 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:51 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:52 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:53 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:54 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:55 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:56 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:57 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:58 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:59 matches:0 | C: 0x000000 Ref: 0xFFFFFF
INFO - MiscDetections\CharacterChangeMenu | Color Check Finished |  0xFFFFFF | 0.000000
INFO - MiscDetections\CharacterChangeMenu | Color Check Started |  0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:0 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:1 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:2 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:3 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:4 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:5 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:6 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:7 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:8 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:9 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:10 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:11 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:12 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:13 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:14 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:15 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:16 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:17 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:18 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:19 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:20 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:21 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:22 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:23 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:24 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:25 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:26 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:27 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:28 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:29 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:30 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:31 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:32 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:33 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:34 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:35 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:36 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:37 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:38 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:39 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:40 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:41 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:42 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:43 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:44 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:45 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:46 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:47 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:48 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:49 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:50 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:51 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:52 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:53 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:54 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:55 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:56 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:57 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:58 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:59 matches:0 | C: 0x000000 Ref: 0xFFFFFF
INFO - MiscDetections\CharacterChangeMenu | Color Check Finished |  0xFFFFFF | 0.000000
INFO - MiscDetections\CharacterChangeMenu | Color Check Started |  0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:0 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:1 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:2 matches:0 | C: 0x000000 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:3 matches:0 | C: 0x000000 Ref: 0xFFFFFF
