Loot Monitor | Starting Chest Checking
19 7 | C: 0x3d3c3a Ref: 16770507
19 13 | C: 0x423b30 Ref: 0x488DD8
20 13 | C: 0x3d3b2b Ref: 0x488DD8
1 14 | C: 0x031a03 Ref: 0x488DD8
2 14 | C: 0x062708 Ref: 0x488DD8
3 14 | C: 0x0a2a0a Ref: 0x488DD8
6 8 | C: 0x37363b Ref: 16770507
7 8 | C: 0x3b3a41 Ref: 16770507
8 8 | C: 0x35383b Ref: 16770507
4 14 | C: 0x0a2608 Ref: 0x488DD8
5 14 | C: 0x0a280a Ref: 0x488DD8
6 14 | C: 0x062306 Ref: 0x488DD8
7 14 | C: 0x062306 Ref: 0x488DD8
15 8 | C: 0x3e3b3c Ref: 16770507
16 8 | C: 0x4c4a4b Ref: 16770507
17 8 | C: 0x3e3e41 Ref: 16770507
18 8 | C: 0x3d3a37 Ref: 16770507
8 14 | C: 0x0a2f0e Ref: 0x488DD8
9 14 | C: 0x0f3713 Ref: 0x488DD8
10 14 | C: 0x0f320f Ref: 0x488DD8
11 14 | C: 0x0c2a0a Ref: 0x488DD8
19 8 | C: 0x20582f Ref: 16770507
20 8 | C: 0x2b4d30 Ref: 16770507
21 8 | C: 0x323f36 Ref: 16770507
22 8 | C: 0x3c3d3e Ref: 16770507
14 15 | C: 0x0a2608 Ref: 0x488DD8
15 15 | C: 0x0e190f Ref: 0x488DD8
16 15 | C: 0x172723 Ref: 0x488DD8
23 8 | C: 0x194f26 Ref: 16770507
24 8 | C: 0x1c5f2c Ref: 16770507
25 8 | C: 0x1d5c2b Ref: 16770507
26 8 | C: 0x346638 Ref: 16770507
17 15 | C: 0x132617 Ref: 0x488DD8
18 15 | C: 0x27312a Ref: 0x488DD8
19 15 | C: 0x453f36 Ref: 0x488DD8
20 15 | C: 0x453f36 Ref: 0x488DD8
27 8 | C: 0x3a3e3f Ref: 16770507
28 8 | C: 0x373c3e Ref: 16770507
29 8 | C: 0x383d3e Ref: 16770507
30 8 | C: 0x35383b Ref: 16770507
1 16 | C: 0x112a1c Ref: 0x488DD8
2 16 | C: 0x0c270a Ref: 0x488DD8
3 16 | C: 0x0c2b0c Ref: 0x488DD8
4 16 | C: 0x0a280a Ref: 0x488DD8
31 8 | C: 0x3c3c3d Ref: 16770507
32 8 | C: 0x3d4347 Ref: 16770507
33 8 | C: 0x3c4142 Ref: 16770507
34 8 | C: 0x3e423e Ref: 16770507
5 16 | C: 0x112d0a Ref: 0x488DD8
6 16 | C: 0x484641 Ref: 0x488DD8
7 16 | C: 0x4e4845 Ref: 0x488DD8
8 16 | C: 0x373b35 Ref: 0x488DD8
1 9 | C: 0x2c1f16 Ref: 16770507
2 9 | C: 0x2c231d Ref: 16770507
3 9 | C: 0x1f1a17 Ref: 16770507
4 9 | C: 0x3d3c3e Ref: 16770507
9 16 | C: 0x2f342a Ref: 0x488DD8
10 16 | C: 0x0f2713 Ref: 0x488DD8
11 16 | C: 0x082308 Ref: 0x488DD8
12 16 | C: 0x132c21 Ref: 0x488DD8
9 9 | C: 0x3c3d3c Ref: 16770507
10 9 | C: 0x444341 Ref: 16770507
11 9 | C: 0x454443 Ref: 16770507
12 9 | C: 0x1f512c Ref: 16770507
14 17 | C: 0x112a20 Ref: 0x488DD8
15 17 | C: 0x062103 Ref: 0x488DD8
16 17 | C: 0x061c03 Ref: 0x488DD8
13 9 | C: 0x344b36 Ref: 16770507
14 9 | C: 0x3a3738 Ref: 16770507
15 9 | C: 0x424343 Ref: 16770507
16 9 | C: 0x444a4b Ref: 16770507
1 18 | C: 0x06280a Ref: 0x488DD8
2 18 | C: 0x14351d Ref: 0x488DD8
3 18 | C: 0x1f3728 Ref: 0x488DD8
4 18 | C: 0x0f3111 Ref: 0x488DD8
17 9 | C: 0x3c3e41 Ref: 16770507
18 9 | C: 0x353130 Ref: 16770507
19 9 | C: 0x302d2a Ref: 16770507
20 9 | C: 0x353131 Ref: 16770507
5 18 | C: 0x0a2d0e Ref: 0x488DD8
6 18 | C: 0x0a3b17 Ref: 0x488DD8
7 18 | C: 0x4f5147 Ref: 0x488DD8
8 18 | C: 0x2f433d Ref: 0x488DD8
21 9 | C: 0x3a3a3b Ref: 16770507
22 9 | C: 0x363738 Ref: 16770507
23 9 | C: 0x16381a Ref: 16770507
14 18 | C: 0x132a1d Ref: 0x488DD8
15 18 | C: 0x0f271a Ref: 0x488DD8
16 18 | C: 0x142b1f Ref: 0x488DD8
28 9 | C: 0x3a3e43 Ref: 16770507
29 9 | C: 0x3c4346 Ref: 16770507
30 9 | C: 0x414442 Ref: 16770507
31 9 | C: 0x285b32 Ref: 16770507
1 19 | C: 0x082008 Ref: 0x488DD8
2 19 | C: 0x0f3511 Ref: 0x488DD8
3 19 | C: 0x0f3713 Ref: 0x488DD8
4 19 | C: 0x113b16 Ref: 0x488DD8
25 10 | C: 0x3b4343 Ref: 16770507
26 10 | C: 0x3a4141 Ref: 16770507
27 10 | C: 0x3e4445 Ref: 16770507
5 19 | C: 0x133e16 Ref: 0x488DD8
6 19 | C: 0x113814 Ref: 0x488DD8
7 19 | C: 0x4c4d44 Ref: 0x488DD8
8 19 | C: 0x434b44 Ref: 0x488DD8
1 11 | C: 0x302017 Ref: 16770507
2 11 | C: 0x2a211c Ref: 16770507
3 11 | C: 0x211c19 Ref: 16770507
9 19 | C: 0x112f24 Ref: 0x488DD8
10 19 | C: 0x0e2414 Ref: 0x488DD8
11 19 | C: 0x0f2613 Ref: 0x488DD8
12 19 | C: 0x133019 Ref: 0x488DD8
7 11 | C: 0x53544e Ref: 16770507
8 11 | C: 0x484c48 Ref: 16770507
9 11 | C: 0x525450 Ref: 16770507
10 11 | C: 0x526c4a Ref: 16770507
14 19 | C: 0x163528 Ref: 0x488DD8
15 19 | C: 0x112c20 Ref: 0x488DD8
16 19 | C: 0x0c2711 Ref: 0x488DD8
17 19 | C: 0x0c2311 Ref: 0x488DD8
11 11 | C: 0x43433f Ref: 16770507
12 11 | C: 0x3a3a3b Ref: 16770507
13 11 | C: 0x3a3b3d Ref: 16770507
14 11 | C: 0x343434 Ref: 16770507
18 19 | C: 0x082108 Ref: 0x488DD8
19 19 | C: 0x0e340e Ref: 0x488DD8
20 19 | C: 0x164f1c Ref: 0x488DD8
15 11 | C: 0x2d2b28 Ref: 16770507
16 11 | C: 0x323432 Ref: 16770507
17 11 | C: 0x383838 Ref: 16770507
18 11 | C: 0x363738 Ref: 16770507
1 20 | C: 0x174b27 Ref: 0x488DD8
2 20 | C: 0x1a4d23 Ref: 0x488DD8
3 20 | C: 0x144317 Ref: 0x488DD8
4 20 | C: 0x0f320f Ref: 0x488DD8
19 11 | C: 0x363b3a Ref: 16770507
20 11 | C: 0x474746 Ref: 16770507
21 11 | C: 0x444444 Ref: 16770507
22 11 | C: 0x1d6230 Ref: 16770507
5 20 | C: 0x0a280a Ref: 0x488DD8
6 20 | C: 0x162811 Ref: 0x488DD8
7 20 | C: 0x534f46 Ref: 0x488DD8
8 20 | C: 0x52524a Ref: 0x488DD8
23 11 | C: 0x3c4343 Ref: 16770507
24 11 | C: 0x173b1a Ref: 16770507
25 11 | C: 0x1c3817 Ref: 16770507
26 11 | C: 0x1f3f1d Ref: 16770507
9 20 | C: 0x133127 Ref: 0x488DD8
10 20 | C: 0x0c2b0a Ref: 0x488DD8
11 20 | C: 0x0a2308 Ref: 0x488DD8
12 20 | C: 0x0f2b14 Ref: 0x488DD8
2 12 | C: 0x28201a Ref: 16770507
3 12 | C: 0x211a17 Ref: 16770507
4 12 | C: 0x434341 Ref: 16770507
5 12 | C: 0x54574f Ref: 16770507
13 20 | C: 0x0c2b11 Ref: 0x488DD8
14 20 | C: 0x08320c Ref: 0x488DD8
15 20 | C: 0x062a0a Ref: 0x488DD8
16 20 | C: 0x0c260e Ref: 0x488DD8
6 12 | C: 0x4e4c47 Ref: 16770507
7 12 | C: 0x3f3b3a Ref: 16770507
8 12 | C: 0x4c774d Ref: 16770507
9 12 | C: 0x443e3e Ref: 16770507
17 20 | C: 0x0c1f0f Ref: 0x488DD8
18 20 | C: 0x0a1c0a Ref: 0x488DD8
19 20 | C: 0x0a2708 Ref: 0x488DD8
20 20 | C: 0x134617 Ref: 0x488DD8
20 12 | C: 0x413f3d Ref: 16770507
21 12 | C: 0x3a3a35 Ref: 16770507
22 12 | C: 0x3b3c3a Ref: 16770507
12 21 | C: 0x37453c Ref: 0x488DD8
13 21 | C: 0x1d3526 Ref: 0x488DD8
14 21 | C: 0x0e2f16 Ref: 0x488DD8
15 21 | C: 0x0a2b13 Ref: 0x488DD8
33 12 | C: 0x3c7a4c Ref: 16770507
34 12 | C: 0x313a3c Ref: 16770507
1 13 | C: 0x362419 Ref: 16770507
2 13 | C: 0x2b211c Ref: 16770507
16 21 | C: 0x0e2a1a Ref: 0x488DD8
17 21 | C: 0x0c2713 Ref: 0x488DD8
18 21 | C: 0x062006 Ref: 0x488DD8
19 21 | C: 0x031c03 Ref: 0x488DD8
26 13 | C: 0x3c423e Ref: 16770507
27 13 | C: 0x3a3f3e Ref: 16770507
28 13 | C: 0x234f27 Ref: 16770507
29 13 | C: 0x283b28 Ref: 16770507
20 21 | C: 0x082c0a Ref: 0x488DD8
1 22 | C: 0x47605f Ref: 0x488DD8
2 22 | C: 0x1d453d Ref: 0x488DD8
3 22 | C: 0x0e3611 Ref: 0x488DD8
7 14 | C: 0x353738 Ref: 16770507
8 14 | C: 0x354244 Ref: 16770507
9 14 | C: 0x354344 Ref: 16770507
10 14 | C: 0x3b3b37 Ref: 16770507
4 22 | C: 0x062808 Ref: 0x488DD8
5 22 | C: 0x062708 Ref: 0x488DD8
6 22 | C: 0x163017 Ref: 0x488DD8
7 22 | C: 0x696655 Ref: 0x488DD8
11 14 | C: 0x353a38 Ref: 16770507
12 14 | C: 0x383b3a Ref: 16770507
13 14 | C: 0x383d3b Ref: 16770507
14 14 | C: 0x2a3031 Ref: 16770507
18 22 | C: 0x0c350f Ref: 0x488DD8
19 22 | C: 0x0a270c Ref: 0x488DD8
20 22 | C: 0x061d06 Ref: 0x488DD8
1 23 | C: 0x2b453f Ref: 0x488DD8
15 14 | C: 0x2a3030 Ref: 16770507
16 14 | C: 0x424246 Ref: 16770507
17 14 | C: 0x585257 Ref: 16770507
18 14 | C: 0x424544 Ref: 16770507
17 24 | C: 0x192f1f Ref: 0x488DD8
18 24 | C: 0x0e2b13 Ref: 0x488DD8
19 24 | C: 0x082a0a Ref: 0x488DD8
19 14 | C: 0x424542 Ref: 16770507
20 14 | C: 0x41423e Ref: 16770507
21 14 | C: 0x3d3b37 Ref: 16770507
22 14 | C: 0x26572f Ref: 16770507
20 24 | C: 0x082d0c Ref: 0x488DD8
1 25 | C: 0x274136 Ref: 0x488DD8
2 25 | C: 0x1d3b32 Ref: 0x488DD8
3 25 | C: 0x28443d Ref: 0x488DD8
23 14 | C: 0x273030 Ref: 16770507
24 14 | C: 0x353736 Ref: 16770507
25 14 | C: 0x3a3e3e Ref: 16770507
26 14 | C: 0x3c4241 Ref: 16770507
15 26 | C: 0x414a42 Ref: 0x488DD8
16 26 | C: 0x2c3128 Ref: 0x488DD8
17 26 | C: 0x273124 Ref: 0x488DD8
18 26 | C: 0x2c382b Ref: 0x488DD8
20 15 | C: 0x323231 Ref: 16770507
21 15 | C: 0x275e36 Ref: 16770507
22 15 | C: 0x2f3837 Ref: 16770507
19 26 | C: 0x14301c Ref: 0x488DD8
20 26 | C: 0x143021 Ref: 0x488DD8
1 27 | C: 0x2c473f Ref: 0x488DD8
2 27 | C: 0x2d4742 Ref: 0x488DD8
3 27 | C: 0x3c504a Ref: 0x488DD8
34 15 | C: 0x272a28 Ref: 16770507
1 16 | C: 0x31261d Ref: 16770507
2 16 | C: 0x231d19 Ref: 16770507
5 27 | C: 0x506457 Ref: 0x488DD8
6 27 | C: 0x6a7160 Ref: 0x488DD8
7 27 | C: 0x4e6052 Ref: 0x488DD8
8 27 | C: 0x1a4b23 Ref: 0x488DD8
9 16 | C: 0x3d3e3e Ref: 16770507
10 16 | C: 0x3e3b38 Ref: 16770507
11 16 | C: 0x343535 Ref: 16770507
12 16 | C: 0x3a3e3d Ref: 16770507
9 27 | C: 0x133a17 Ref: 0x488DD8
10 27 | C: 0x0f3011 Ref: 0x488DD8
11 27 | C: 0x143619 Ref: 0x488DD8
12 27 | C: 0x3b4841 Ref: 0x488DD8
13 16 | C: 0x3c4646 Ref: 16770507
14 16 | C: 0x384244 Ref: 16770507
15 16 | C: 0x3c3e3d Ref: 16770507
16 16 | C: 0x363634 Ref: 16770507
20 27 | C: 0x3a4237 Ref: 0x488DD8
1 28 | C: 0x213f34 Ref: 0x488DD8
2 28 | C: 0x23453c Ref: 0x488DD8
3 28 | C: 0x37524b Ref: 0x488DD8
28 16 | C: 0x24673a Ref: 16770507
29 16 | C: 0x365738 Ref: 16770507
30 16 | C: 0x3e6341 Ref: 16770507
31 16 | C: 0x376741 Ref: 16770507
13 28 | C: 0x1c3b2a Ref: 0x488DD8
14 28 | C: 0x384b41 Ref: 0x488DD8
15 28 | C: 0x4b5045 Ref: 0x488DD8
32 16 | C: 0x3c4441 Ref: 16770507
33 16 | C: 0x2c3130 Ref: 16770507
34 16 | C: 0x2a2d2b Ref: 16770507
1 17 | C: 0x30241d Ref: 16770507
4 29 | C: 0x6a6d62 Ref: 0x488DD8
5 29 | C: 0x8a7d6c Ref: 0x488DD8
6 29 | C: 0x837766 Ref: 0x488DD8
7 29 | C: 0x6f6a5e Ref: 0x488DD8
2 17 | C: 0x2c231c Ref: 16770507
3 17 | C: 0x201c16 Ref: 16770507
4 17 | C: 0x161411 Ref: 16770507
5 17 | C: 0x312b2d Ref: 16770507
18 29 | C: 0x454b3e Ref: 0x488DD8
19 29 | C: 0x5b5847 Ref: 0x488DD8
20 29 | C: 0x5d5743 Ref: 0x488DD8
1 30 | C: 0x1d3524 Ref: 0x488DD8
19 17 | C: 0x313b3a Ref: 16770507
20 17 | C: 0x353536 Ref: 16770507
21 17 | C: 0x3f4542 Ref: 16770507
22 17 | C: 0x414846 Ref: 16770507
14 31 | C: 0x324137 Ref: 0x488DD8
15 31 | C: 0x2b3c36 Ref: 0x488DD8
16 31 | C: 0x1c2b21 Ref: 0x488DD8
17 31 | C: 0x212c21 Ref: 0x488DD8
22 18 | C: 0x4b534d Ref: 16770507
23 18 | C: 0x373d3c Ref: 16770507
24 18 | C: 0x374c3c Ref: 16770507
25 18 | C: 0x343838 Ref: 16770507
6 34 | C: 0x273b2d Ref: 0x488DD8
7 34 | C: 0x213426 Ref: 0x488DD8
8 34 | C: 0x36443e Ref: 0x488DD8
20 19 | C: 0x3d4743 Ref: 16770507
21 19 | C: 0x414b46 Ref: 16770507
22 19 | C: 0x414843 Ref: 16770507
23 19 | C: 0x3c4b41 Ref: 16770507
7 36 | C: 0x214134 Ref: 0x488DD8
8 36 | C: 0x48554e Ref: 0x488DD8
9 36 | C: 0x5b6058 Ref: 0x488DD8
24 19 | C: 0x3a3b3a Ref: 16770507
25 19 | C: 0x313635 Ref: 16770507
26 19 | C: 0x303636 Ref: 16770507
27 19 | C: 0x32413d Ref: 16770507
28 19 | C: 0x3a4d46 Ref: 16770507
8 38 | C: 0x344f41 Ref: 0x488DD8
9 38 | C: 0x213728 Ref: 0x488DD8
10 38 | C: 0x1f3d26 Ref: 0x488DD8
30 19 | C: 0x3e4c46 Ref: 16770507
31 19 | C: 0x324f37 Ref: 16770507
32 19 | C: 0x464a47 Ref: 16770507
33 19 | C: 0x363a37 Ref: 16770507
16 38 | C: 0x63665d Ref: 0x488DD8
17 38 | C: 0x585e58 Ref: 0x488DD8
18 38 | C: 0x615d52 Ref: 0x488DD8
19 38 | C: 0x5f584c Ref: 0x488DD8
4 20 | C: 0x0f110e Ref: 16770507
5 20 | C: 0x373632 Ref: 16770507
6 20 | C: 0x3a3835 Ref: 16770507
7 20 | C: 0x373736 Ref: 16770507
14 39 | C: 0x686355 Ref: 0x488DD8
15 39 | C: 0x6b6558 Ref: 0x488DD8
16 39 | C: 0x646358 Ref: 0x488DD8
17 39 | C: 0x5e5f57 Ref: 0x488DD8
23 20 | C: 0x2c7844 Ref: 16770507
24 20 | C: 0x3c3f3e Ref: 16770507
25 20 | C: 0x3a6c45 Ref: 16770507
26 20 | C: 0x363c3c Ref: 16770507
12 40 | C: 0x233c32 Ref: 0x488DD8
13 40 | C: 0x2c4135 Ref: 0x488DD8
14 40 | C: 0x555a4e Ref: 0x488DD8
15 40 | C: 0x665f51 Ref: 0x488DD8
27 20 | C: 0x323a38 Ref: 16770507
28 20 | C: 0x37423e Ref: 16770507
29 20 | C: 0x3a4741 Ref: 16770507
30 20 | C: 0x3b4741 Ref: 16770507
16 40 | C: 0x635c4f Ref: 0x488DD8
17 40 | C: 0x5e5a4f Ref: 0x488DD8
18 40 | C: 0x5f5b4f Ref: 0x488DD8
19 40 | C: 0x615c4f Ref: 0x488DD8
14 21 | C: 0x1f2c17 Ref: 16770507
15 21 | C: 0x2d372c Ref: 16770507
16 21 | C: 0x322c2a Ref: 16770507
17 21 | C: 0x34302d Ref: 16770507
20 40 | C: 0x535147 Ref: 0x488DD8
1 41 | C: 0x625e4e Ref: 0x488DD8
2 41 | C: 0x535346 Ref: 0x488DD8
3 41 | C: 0x5f574a Ref: 0x488DD8
18 21 | C: 0x2f2c2b Ref: 16770507
19 21 | C: 0x2b2c2a Ref: 16770507
20 21 | C: 0x302f2d Ref: 16770507
21 21 | C: 0x343831 Ref: 16770507
5 42 | C: 0x5d5a51 Ref: 0x488DD8
6 42 | C: 0x585f5b Ref: 0x488DD8
7 42 | C: 0x596461 Ref: 0x488DD8
8 42 | C: 0x5b665d Ref: 0x488DD8
28 21 | C: 0x36383a Ref: 16770507
29 21 | C: 0x2f3234 Ref: 16770507
30 21 | C: 0x32383a Ref: 16770507
31 21 | C: 0x1f542b Ref: 16770507
9 42 | C: 0x5d6861 Ref: 0x488DD8
10 42 | C: 0x606c65 Ref: 0x488DD8
11 42 | C: 0x5e6f69 Ref: 0x488DD8
12 42 | C: 0x5d716d Ref: 0x488DD8
20 22 | C: 0x313431 Ref: 16770507
21 22 | C: 0x355238 Ref: 16770507
22 22 | C: 0x3d623e Ref: 16770507
23 22 | C: 0x3a5f3b Ref: 16770507
8 43 | C: 0x5b665d Ref: 0x488DD8
9 43 | C: 0x5d6a61 Ref: 0x488DD8
10 43 | C: 0x5e6d65 Ref: 0x488DD8
24 22 | C: 0x2c3b32 Ref: 16770507
25 22 | C: 0x304138 Ref: 16770507
26 22 | C: 0x34423b Ref: 16770507
27 22 | C: 0x37443d Ref: 16770507
11 43 | C: 0x5e6e68 Ref: 0x488DD8
12 43 | C: 0x5e706c Ref: 0x488DD8
13 43 | C: 0x5e736e Ref: 0x488DD8
14 43 | C: 0x586f6a Ref: 0x488DD8
28 22 | C: 0x384544 Ref: 16770507
29 22 | C: 0x3b4344 Ref: 16770507
30 22 | C: 0x3c3c3d Ref: 16770507
31 22 | C: 0x444a4c Ref: 16770507
15 43 | C: 0x3e5c5b Ref: 0x488DD8
16 43 | C: 0x415148 Ref: 0x488DD8
17 43 | C: 0x575a4e Ref: 0x488DD8
18 43 | C: 0x5c5a4d Ref: 0x488DD8
32 22 | C: 0x474b4c Ref: 16770507
33 22 | C: 0x3c463c Ref: 16770507
34 22 | C: 0x235c34 Ref: 16770507
1 23 | C: 0x3a3232 Ref: 16770507
19 43 | C: 0x5b584e Ref: 0x488DD8
20 43 | C: 0x5a584e Ref: 0x488DD8
1 44 | C: 0x4c5145 Ref: 0x488DD8
2 44 | C: 0x52574b Ref: 0x488DD8
2 23 | C: 0x2d422d Ref: 16770507
3 23 | C: 0x373432 Ref: 16770507
4 23 | C: 0x353635 Ref: 16770507
5 23 | C: 0x363534 Ref: 16770507
3 44 | C: 0x5d5d53 Ref: 0x488DD8
4 44 | C: 0x606258 Ref: 0x488DD8
5 44 | C: 0x4f594d Ref: 0x488DD8
6 44 | C: 0x52584e Ref: 0x488DD8
6 23 | C: 0x2d2b28 Ref: 16770507
7 23 | C: 0x2f2d2a Ref: 16770507
8 23 | C: 0x323638 Ref: 16770507
9 23 | C: 0x3d4547 Ref: 16770507
7 44 | C: 0x5f6157 Ref: 0x488DD8
8 44 | C: 0x60675e Ref: 0x488DD8
9 44 | C: 0x5e685f Ref: 0x488DD8
10 44 | C: 0x5f685e Ref: 0x488DD8
10 23 | C: 0x363a3b Ref: 16770507
11 23 | C: 0x3a3e3d Ref: 16770507
12 23 | C: 0x365a4c Ref: 16770507
13 23 | C: 0x237e4c Ref: 16770507
11 44 | C: 0x616a62 Ref: 0x488DD8
12 44 | C: 0x5e6b67 Ref: 0x488DD8
13 44 | C: 0x596d6c Ref: 0x488DD8
14 44 | C: 0x486b6c Ref: 0x488DD8
24 23 | C: 0x314337 Ref: 16770507
25 23 | C: 0x37473e Ref: 16770507
26 23 | C: 0x38473d Ref: 16770507
27 23 | C: 0x38453e Ref: 16770507
15 44 | C: 0x315b5f Ref: 0x488DD8
16 44 | C: 0x244142 Ref: 0x488DD8
17 44 | C: 0x2f423c Ref: 0x488DD8
18 44 | C: 0x4e4f4a Ref: 0x488DD8
28 23 | C: 0x3f4441 Ref: 16770507
29 23 | C: 0x383535 Ref: 16770507
30 23 | C: 0x3a3a3b Ref: 16770507
31 23 | C: 0x48474a Ref: 16770507
14 45 | C: 0x4a6c6e Ref: 0x488DD8
15 45 | C: 0x326266 Ref: 0x488DD8
16 45 | C: 0x28575b Ref: 0x488DD8
17 45 | C: 0x204342 Ref: 0x488DD8
8 24 | C: 0x38373a Ref: 16770507
9 24 | C: 0x3b3a3a Ref: 16770507
10 24 | C: 0x343535 Ref: 16770507
5 46 | C: 0x545d52 Ref: 0x488DD8
6 46 | C: 0x3b4d41 Ref: 0x488DD8
7 46 | C: 0x425746 Ref: 0x488DD8
8 46 | C: 0x546155 Ref: 0x488DD8
11 24 | C: 0x249054 Ref: 16770507
12 24 | C: 0x34955f Ref: 16770507
13 24 | C: 0x53805b Ref: 16770507
14 24 | C: 0x345142 Ref: 16770507
9 46 | C: 0x59655f Ref: 0x488DD8
10 46 | C: 0x4b605e Ref: 0x488DD8
11 46 | C: 0x4c5e5b Ref: 0x488DD8
12 46 | C: 0x54635e Ref: 0x488DD8
15 24 | C: 0x323735 Ref: 16770507
16 24 | C: 0x3c3636 Ref: 16770507
17 24 | C: 0x3c3737 Ref: 16770507
18 24 | C: 0x3a3838 Ref: 16770507
5 47 | C: 0x515a51 Ref: 0x488DD8
6 47 | C: 0x45524a Ref: 0x488DD8
7 47 | C: 0x4c574d Ref: 0x488DD8
8 47 | C: 0x4e5c54 Ref: 0x488DD8
19 24 | C: 0x3a3e3a Ref: 16770507
20 24 | C: 0x38413a Ref: 16770507
21 24 | C: 0x37453c Ref: 16770507
22 24 | C: 0x36433b Ref: 16770507
9 47 | C: 0x4e5f5b Ref: 0x488DD8
10 47 | C: 0x4b605e Ref: 0x488DD8
11 47 | C: 0x52625e Ref: 0x488DD8
12 47 | C: 0x586560 Ref: 0x488DD8
13 47 | C: 0x556765 Ref: 0x488DD8
26 24 | C: 0x3a3e37 Ref: 16770507
27 24 | C: 0x2a5330 Ref: 16770507
28 24 | C: 0x424342 Ref: 16770507
14 47 | C: 0x4c686a Ref: 0x488DD8
15 47 | C: 0x3e656a Ref: 0x488DD8
16 47 | C: 0x3b5e5f Ref: 0x488DD8
17 47 | C: 0x1a382b Ref: 0x488DD8
29 24 | C: 0x3e4541 Ref: 16770507
30 24 | C: 0x286c3e Ref: 16770507
31 24 | C: 0x325831 Ref: 16770507
32 24 | C: 0x2a3e23 Ref: 16770507
18 47 | C: 0x1f2d1d Ref: 0x488DD8
19 47 | C: 0x575346 Ref: 0x488DD8
20 47 | C: 0x656053 Ref: 0x488DD8
1 48 | C: 0x4e5d53 Ref: 0x488DD8
34 24 | C: 0x524b4f Ref: 16770507
1 25 | C: 0x206531 Ref: 16770507
2 25 | C: 0x323435 Ref: 16770507
3 25 | C: 0x343636 Ref: 16770507
2 48 | C: 0x5b655f Ref: 0x488DD8
3 48 | C: 0x646b64 Ref: 0x488DD8
4 48 | C: 0x667067 Ref: 0x488DD8
5 48 | C: 0x586a63 Ref: 0x488DD8
4 25 | C: 0x353637 Ref: 16770507
5 25 | C: 0x383535 Ref: 16770507
6 25 | C: 0x3b373a Ref: 16770507
7 25 | C: 0x3b3a3a Ref: 16770507
8 25 | C: 0x373536 Ref: 16770507
9 48 | C: 0x445451 Ref: 0x488DD8
10 48 | C: 0x4f5c59 Ref: 0x488DD8
11 48 | C: 0x53615e Ref: 0x488DD8
12 48 | C: 0x556563 Ref: 0x488DD8
9 26 | C: 0x3a3b3c Ref: 16770507
10 26 | C: 0x3a3a3a Ref: 16770507
11 26 | C: 0x363736 Ref: 16770507
13 48 | C: 0x526766 Ref: 0x488DD8
14 48 | C: 0x4b6769 Ref: 0x488DD8
15 48 | C: 0x426569 Ref: 0x488DD8
16 48 | C: 0x426463 Ref: 0x488DD8
17 48 | C: 0x2f5145 Ref: 0x488DD8
24 26 | C: 0x4a4743 Ref: 16770507
25 26 | C: 0x4a4844 Ref: 16770507
26 26 | C: 0x1f5c31 Ref: 16770507
27 26 | C: 0x325c32 Ref: 16770507
18 48 | C: 0x1c3d26 Ref: 0x488DD8
19 48 | C: 0x374c3a Ref: 0x488DD8
20 48 | C: 0x605f52 Ref: 0x488DD8
1 49 | C: 0x5f665f Ref: 0x488DD8
24 27 | C: 0x474541 Ref: 16770507
25 27 | C: 0x484b46 Ref: 16770507
26 27 | C: 0x236f37 Ref: 16770507
2 49 | C: 0x6a7069 Ref: 0x488DD8
3 49 | C: 0x71756e Ref: 0x488DD8
4 49 | C: 0x687069 Ref: 0x488DD8
5 49 | C: 0x415951 Ref: 0x488DD8
27 27 | C: 0x2d6936 Ref: 16770507
28 27 | C: 0x289252 Ref: 16770507
29 27 | C: 0x289150 Ref: 16770507
30 27 | C: 0x3a7541 Ref: 16770507
6 49 | C: 0x244235 Ref: 0x488DD8
7 49 | C: 0x2a443d Ref: 0x488DD8
8 49 | C: 0x41534d Ref: 0x488DD8
9 49 | C: 0x605f54 Ref: 0x488DD8
31 27 | C: 0x265e31 Ref: 16770507
32 27 | C: 0x2f6235 Ref: 16770507
33 27 | C: 0x355b32 Ref: 16770507
34 27 | C: 0x3d5c36 Ref: 16770507
17 49 | C: 0x4e655b Ref: 0x488DD8
18 49 | C: 0x2a523c Ref: 0x488DD8
19 49 | C: 0x275735 Ref: 0x488DD8
20 49 | C: 0x555d4c Ref: 0x488DD8
12 28 | C: 0x302d2b Ref: 16770507
13 28 | C: 0x2b2b28 Ref: 16770507
14 28 | C: 0x313434 Ref: 16770507
15 28 | C: 0x34473c Ref: 16770507
1 50 | C: 0x5e5f54 Ref: 0x488DD8
2 50 | C: 0x676760 Ref: 0x488DD8
3 50 | C: 0x676d68 Ref: 0x488DD8
4 50 | C: 0x5e6965 Ref: 0x488DD8
12 29 | C: 0x262626 Ref: 16770507
13 29 | C: 0x312d2a Ref: 16770507
14 29 | C: 0x2f3b2a Ref: 16770507
5 50 | C: 0x344f46 Ref: 0x488DD8
6 50 | C: 0x1f422f Ref: 0x488DD8
7 50 | C: 0x2c463c Ref: 0x488DD8
8 50 | C: 0x42544d Ref: 0x488DD8
9 50 | C: 0x5a5f53 Ref: 0x488DD8
25 29 | C: 0x437647 Ref: 16770507
26 29 | C: 0x353530 Ref: 16770507
27 29 | C: 0x3b3c37 Ref: 16770507
15 50 | C: 0x7e6f5d Ref: 0x488DD8
16 50 | C: 0x786d5d Ref: 0x488DD8
17 50 | C: 0x63675a Ref: 0x488DD8
18 50 | C: 0x3f5948 Ref: 0x488DD8
