Loot Monitor | Starting Chest Checking
9 8 | C: 0x06110a Ref: 0x488DD8
34 3 | C: 0x716d55 Ref: 16770251
1 4 | C: 0x6c6b54 Ref: 16770251
2 4 | C: 0x6b6a54 Ref: 16770251
3 4 | C: 0x6a6b54 Ref: 16770251
4 4 | C: 0x6b6a54 Ref: 16770251
12 8 | C: 0x03110a Ref: 0x488DD8
13 8 | C: 0x063119 Ref: 0x488DD8
14 8 | C: 0x08311d Ref: 0x488DD8
15 8 | C: 0x0a3220 Ref: 0x488DD8
23 4 | C: 0x515242 Ref: 16770251
24 4 | C: 0x515242 Ref: 16770251
25 4 | C: 0x535243 Ref: 16770251
26 4 | C: 0x5e5d4a Ref: 16770251
10 9 | C: 0x060f08 Ref: 0x488DD8
11 9 | C: 0x06170e Ref: 0x488DD8
12 9 | C: 0x062113 Ref: 0x488DD8
13 9 | C: 0x08301c Ref: 0x488DD8
27 4 | C: 0x696953 Ref: 16770251
28 4 | C: 0x6c6c55 Ref: 16770251
29 4 | C: 0x6e6c55 Ref: 16770251
30 4 | C: 0x6e6c55 Ref: 16770251
14 9 | C: 0x0c3221 Ref: 0x488DD8
15 9 | C: 0x0f3123 Ref: 0x488DD8
16 9 | C: 0x163c2b Ref: 0x488DD8
17 9 | C: 0x1d4531 Ref: 0x488DD8
18 9 | C: 0x1d4330 Ref: 0x488DD8
18 5 | C: 0x585345 Ref: 16770251
19 5 | C: 0x555345 Ref: 16770251
20 5 | C: 0x545344 Ref: 16770251
21 5 | C: 0x535344 Ref: 16770251
7 10 | C: 0x061308 Ref: 0x488DD8
8 10 | C: 0x061a0a Ref: 0x488DD8
9 10 | C: 0x061d08 Ref: 0x488DD8
10 10 | C: 0x06160a Ref: 0x488DD8
11 10 | C: 0x062014 Ref: 0x488DD8
9 6 | C: 0x6c6b54 Ref: 16770251
10 6 | C: 0x595846 Ref: 16770251
11 6 | C: 0x575445 Ref: 16770251
12 6 | C: 0x555344 Ref: 16770251
14 10 | C: 0x0e3223 Ref: 0x488DD8
15 10 | C: 0x113023 Ref: 0x488DD8
16 10 | C: 0x193e2d Ref: 0x488DD8
17 10 | C: 0x1f4632 Ref: 0x488DD8
13 6 | C: 0x545444 Ref: 16770251
14 6 | C: 0x545445 Ref: 16770251
15 6 | C: 0x545344 Ref: 16770251
16 6 | C: 0x595847 Ref: 16770251
8 11 | C: 0x06110a Ref: 0x488DD8
9 11 | C: 0x06130a Ref: 0x488DD8
10 11 | C: 0x061a0f Ref: 0x488DD8
11 11 | C: 0x062716 Ref: 0x488DD8
17 6 | C: 0x65624d Ref: 16770251
18 6 | C: 0x6c6952 Ref: 16770251
19 6 | C: 0x6f6b54 Ref: 16770251
20 6 | C: 0x6d6b54 Ref: 16770251
16 11 | C: 0x133226 Ref: 0x488DD8
17 11 | C: 0x1c3e2f Ref: 0x488DD8
18 11 | C: 0x1d3f2f Ref: 0x488DD8
19 11 | C: 0x1f3c2d Ref: 0x488DD8
20 11 | C: 0x193427 Ref: 0x488DD8
4 7 | C: 0x706c58 Ref: 16770251
5 7 | C: 0x716d58 Ref: 16770251
6 7 | C: 0x6f6d57 Ref: 16770251
7 7 | C: 0x716d58 Ref: 16770251
1 12 | C: 0x061a0c Ref: 0x488DD8
2 12 | C: 0x061c0f Ref: 0x488DD8
3 12 | C: 0x062311 Ref: 0x488DD8
4 12 | C: 0x062811 Ref: 0x488DD8
5 12 | C: 0x062c13 Ref: 0x488DD8
8 7 | C: 0x6f6b57 Ref: 16770251
9 7 | C: 0x585544 Ref: 16770251
10 7 | C: 0x555445 Ref: 16770251
11 7 | C: 0x555444 Ref: 16770251
6 12 | C: 0x081d0f Ref: 0x488DD8
7 12 | C: 0x061f13 Ref: 0x488DD8
8 12 | C: 0x06190f Ref: 0x488DD8
9 12 | C: 0x06170e Ref: 0x488DD8
12 7 | C: 0x555344 Ref: 16770251
13 7 | C: 0x545444 Ref: 16770251
14 7 | C: 0x636350 Ref: 16770251
15 7 | C: 0x706c57 Ref: 16770251
16 7 | C: 0x716d58 Ref: 16770251
20 13 | C: 0x1a372b Ref: 0x488DD8
1 14 | C: 0x061a0c Ref: 0x488DD8
2 14 | C: 0x06160c Ref: 0x488DD8
3 14 | C: 0x062b14 Ref: 0x488DD8
22 7 | C: 0x6e6c55 Ref: 16770251
23 7 | C: 0x6e6c55 Ref: 16770251
24 7 | C: 0x6c6a53 Ref: 16770251
25 7 | C: 0x62614d Ref: 16770251
4 14 | C: 0x06361a Ref: 0x488DD8
5 14 | C: 0x083f21 Ref: 0x488DD8
6 14 | C: 0x0a311a Ref: 0x488DD8
7 14 | C: 0x0a2413 Ref: 0x488DD8
28 7 | C: 0x555344 Ref: 16770251
29 7 | C: 0x555444 Ref: 16770251
30 7 | C: 0x575544 Ref: 16770251
31 7 | C: 0x6f6b57 Ref: 16770251
32 7 | C: 0x717058 Ref: 16770251
3 15 | C: 0x06200f Ref: 0x488DD8
4 15 | C: 0x063519 Ref: 0x488DD8
5 15 | C: 0x06371f Ref: 0x488DD8
6 15 | C: 0x0a4126 Ref: 0x488DD8
33 7 | C: 0x737058 Ref: 16770251
34 7 | C: 0x767159 Ref: 16770251
1 8 | C: 0x716f5a Ref: 16770251
2 8 | C: 0x716f59 Ref: 16770251
7 15 | C: 0x082713 Ref: 0x488DD8
8 15 | C: 0x08351a Ref: 0x488DD8
9 15 | C: 0x082f1a Ref: 0x488DD8
10 15 | C: 0x082f1a Ref: 0x488DD8
11 15 | C: 0x062c17 Ref: 0x488DD8
10 8 | C: 0x585546 Ref: 16770251
11 8 | C: 0x555445 Ref: 16770251
12 8 | C: 0x615d4c Ref: 16770251
